method	n	seed	col	coverage	r2	length	group	subgroup	cv
CalPred	10000	4	education_q_1	0.9585798816568049	0.008896079304487416	1.0972312109219389	Education	1	5
CalPred	10000	4	education_q_4	0.9554088860270444	0.004393142370494617	0.9299742035609602	Education	4	1
CalPred	10000	4	education_q_4	0.9554088860270444	0.0029868762204477302	0.9299742035609602	Education	4	2
CalPred	10000	4	education_q_4	0.9554088860270444	0.0043085308954828845	0.9299742035609602	Education	4	3
CalPred	10000	4	education_q_4	0.9554088860270444	0.004394764461381299	0.9299742035609602	Education	4	4
CalPred	10000	4	education_q_4	0.9554088860270444	0.0026747224158755454	0.9299742035609602	Education	4	5
CalPred	10000	4	income_q_1	0.9624724061810156	0.007182704297677398	1.0589849760385128	Income	1	1
CalPred	10000	4	income_q_1	0.9624724061810156	0.007569350986861062	1.0589849760385128	Income	1	2
CalPred	10000	4	income_q_1	0.9624724061810156	0.011790876649840507	1.0589849760385128	Income	1	3
CalPred	10000	4	income_q_1	0.9624724061810156	0.014673418226270045	1.0589849760385128	Income	1	4
CalPred	10000	4	income_q_1	0.9624724061810156	0.010214804006892574	1.0589849760385128	Income	1	5
CalPred	10000	4	income_q_5	0.9544937428896472	0.0032176883080935435	0.9705716559793328	Income	5	1
CalPred	10000	4	income_q_5	0.9544937428896472	0.004600211238929693	0.9705716559793328	Income	5	2
CalPred	10000	4	income_q_5	0.9544937428896472	0.003646173885253975	0.9705716559793328	Income	5	3
